logf(-1) = nan
  errno: 33
  FE_INVALID: YES
  FE_DIVBYZERO: NO

logf(0) = -inf
  errno: 34
  FE_INVALID: NO
  FE_DIVBYZERO: YES

logf(inf) = inf
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

logf(nan) = nan
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

logf(1) = 0
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

Interval [5.87747e-39, 1.17549e-38] | Max ULP Error: 0.909904242
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.912286162
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.912089288
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.724838912
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.661144197
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.848394513
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.976034403
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.971183062
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.783932745
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.596682370
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.782462120
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.969712496
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.968311965
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.852335393
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.665085018
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.720898092
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.908148408
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.916280508
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.911429167
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.724178851
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.654965639
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.842216015
Interval [0.000000000, 0.000000000] | Max ULP Error: 1.029466391
Interval [0.000000000, 0.000000000] | Max ULP Error: 1.028065920
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.792581499
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.605331182
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.780651927
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.967902303
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.965587914
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.851675332
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.664424956
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.714719534
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.901969910
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.920274854
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.968760312
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.960430443
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.807997048
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.844524264
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.839163661
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.929267466
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.928167880
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.713426232
Interval [0.000000000, 0.000000000] | Max ULP Error: 1.055001259
Interval [0.000000000, 0.000000000] | Max ULP Error: 1.049064159
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.801770985
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.849252522
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.840922713
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.927504838
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.921567678
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.719655931
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.976749003
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.968419135
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.800008357
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.852512956
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.847152412
