Number,Size,Type,Mean,StdDev,TrueSampleVar,ErrFast,ErrTwoPass,ErrSinglePass
1,1000,float32,1,1,1.10179,2.40345e-06,3.7689e-07,5.76784e-07
2,1000,float32,10,0.1,0.00999108,0.000117869,3.92441e-09,6.96501e-08
3,1000,float32,100,0.01,0.000101206,0.000101206,6.52966e-09,3.2482e-09
4,1000,float32,1000,0.001,9.7993e-07,9.7993e-07,1.15166e-09,1.20384e-09
5,1000,float32,1000,1,0.961241,1.52374,1.2096e-06,1.65143e-06
6,1000,float32,10000,100,10355.1,83.0862,0.00516054,0.0159027
7,1000,float32,10,0.001,9.60603e-07,0.00011348,5.93298e-11,7.82312e-11
8,1000,float32,100000,10,98.9524,5218.95,0.00288984,0.00404951
9,1000,float32,1,0.0001,1.02419e-08,5.85805e-07,1.69843e-13,9.73645e-13
10,1000,float32,10,10,101.228,4.46338e-05,2.40308e-05,8.77197e-06

1,1000,float64,1,1,1.10179,4.21885e-15,2.66454e-15,0
2,1000,float64,10,0.1,0.00999108,1.50262e-14,3.29597e-17,0
3,1000,float64,100,0.01,0.000101206,1.58554e-11,3.0439e-17,0
4,1000,float64,1000,0.001,9.7993e-07,2.94664e-10,5.52907e-17,0
5,1000,float64,1000,1,0.961241,8.56277e-10,8.21565e-15,0
6,1000,float64,10000,100,10355.1,1.89089e-07,2.00089e-11,0
7,1000,float64,10,0.001,9.60603e-07,2.7049e-13,2.03288e-19,0
8,1000,float64,100000,10,98.9524,3.83569e-05,3.97904e-13,0
9,1000,float64,1,0.0001,1.02419e-08,5.34262e-16,1.01909e-21,0
10,1000,float64,10,10,101.228,4.26326e-14,9.9476e-14,0

